date,Adj Close,Close,High,Low,Open,Volume
18/4/2022,161.7330627,165.0700073,166.6000061,163.5700073,163.9199982,69023900
19/4/2022,164.0159149,167.3999939,167.8200073,163.9100037,165.0200043,67723800
20/4/2022,163.84935,167.2299957,168.8800049,166.1000061,168.7599945,67929800
21/4/2022,163.0557556,166.4199982,171.5299988,165.9100037,168.9100037,87227800
22/4/2022,158.5193176,161.7899933,167.8699951,161.5,166.4600067,84882400
25/4/2022,159.5873108,162.8800049,163.1699982,158.4600067,161.1199951,96046400
26/4/2022,153.6302338,156.8000031,162.3399963,156.7200012,162.25,95623200
27/4/2022,153.4048767,156.5700073,159.7899933,155.3800049,155.9100037,88063200
28/4/2022,160.3319397,163.6399994,164.5200043,158.9299927,159.25,130216800
29/4/2022,154.4630432,157.6499939,166.1999969,157.25,161.8399963,131747600
2/5/2022,154.7667847,157.9600067,158.2299957,153.2700043,156.7100067,123055300
3/5/2022,156.256012,159.4799957,160.7100067,156.3200073,158.1499939,88966500
4/5/2022,162.6638031,166.0200043,166.4799957,159.2599945,159.6699982,108256500
5/5/2022,153.6008301,156.7700043,164.0800018,154.9499969,163.8500061,130525300
6/5/2022,154.3269653,157.2799988,159.4400024,154.1799927,156.0099945,116124600
9/5/2022,149.2049255,152.0599976,155.8300018,151.4900055,154.9299927,131577900
10/5/2022,151.6089172,154.5099945,156.7400055,152.9299927,155.5200043,115366700
11/5/2022,143.7493134,146.5,155.4499969,145.8099976,153.5,142689800
12/5/2022,139.8833313,142.5599976,146.1999969,138.8000031,142.7700043,182602000
13/5/2022,144.3478851,147.1100006,148.1000061,143.1100006,144.5899963,113990900
16/5/2022,142.8073578,145.5399933,147.5200043,144.1799927,145.5500031,86643800
17/5/2022,146.4378967,149.2400055,149.7700043,146.6799927,148.8600006,78336300
18/5/2022,138.1759644,140.8200073,147.3600006,139.8999939,146.8500061,109742900
19/5/2022,134.7711334,137.3500061,141.6600037,136.6000061,139.8800049,136095600
20/5/2022,135.0066071,137.5899963,140.6999969,132.6100006,139.0899963,137426100
23/5/2022,140.4229736,143.1100006,143.2599945,137.6499939,137.7899933,117726300
24/5/2022,137.7246246,140.3600006,141.9700012,137.3300018,140.8099976,104132700
25/5/2022,137.8816071,140.5200043,141.7899933,138.3399963,138.4299927,92482700
26/5/2022,141.0803986,143.7799988,144.3399963,137.1399994,137.3899994,90601500
27/5/2022,146.830368,149.6399994,149.6799927,145.2599945,145.3899994,90978500
